name,addr_lot,rating_score,rating_num,note,addr_load
17도씨,(지번) 동교동 154-25,,,,서울 마포구 양화로19길 22-16 유티엘동교빌딩 1층
180커피로스터스,,,,editorPick,경기 성남시 분당구 문정로144번길 4 (율동)
1984,(지번) 동교동 158-24,3.3,104건,,서울 마포구 동교로 194 혜원빌딩 1층
33아파트먼트,,,,editorPick,서울 용산구 한남대로27길 33 1층 (한남동)
47625 coffee,(지번) 서교동 476-25,4.3,6건,,서울 마포구 월드컵로10길 9 유삼빌딩 1층
502커피로스터스 역삼점,,,,editorPick,서울 강남구 테헤란로 142 캐피탈타워 1층 (역삼동)
604,(지번) 망원동 338-78,4.6,71건,,서울 마포구 동교로 49 정하빌딩 1층
943킹스크로스,(지번) 서교동 369-1,4.1,400건,,"서울 마포구 양화로16길 24 지하1층, 1~4층"
CSB라운지,,,,editorPick,부산 수영구 광남로 14 (남천동)
Dessert Merlion,(지번) 서교동 346-20,4.5,61건,,서울 마포구 와우산로27길 75 2층
Disco bolos,(지번) 합정동 433-4,4.5,23건,,서울 마포구 동교로 42 1층
EOD,(지번) 상수동 92-2,4.0,2건,,서울 마포구 와우산로 51-9 2층
FM커피하우스 1호점,,,,editorPick,부산 부산진구 전포대로199번길 26 (전포동)
M1CT,(지번) 망원동 457-51,4.4,47건,,서울 마포구 희우정로15길 13 1층
TXT커피,,,,editorPick,서울 종로구 창덕궁길 121 (원서동)
Uig,(지번) 망원동 420-4,4.0,44건,,서울 마포구 망원로3길 7 1-2층
WON커피,(지번) 서교동 366-7,4.8,4건,,"서울 마포구 잔다리로6길 20-9 로이스퀘어 지하1층, 1층"
W카페,(지번) 동교동 200-18,2.4,19건,,서울 마포구 동교로25길 16
YM커피프로젝트,,,,editorPick,서울 은평구 연서로29길 21-8 1층 (갈현동)
heod 합정,(지번) 합정동 360-17,,,,서울 마포구 독막로8길 30 태양빌딩 1층
ㅎㄷ카페,(지번) 서교동 363-17,3.5,15건,,서울 마포구 어울마당로 68 3-9층
가배두림 합정점,(지번) 합정동 391-24,2.6,7건,,서울 마포구 월드컵로3길 54 1층
강변서재,,,,editorPick,서울 영등포구 의사당대로 1 2층 (여의도동)
강원 인제군 남면 설악로 1277,,,,editorPick,남전리 산 226-13
갤러리몸&카페24,(지번) 서교동 490,5.0,1건,,서울 마포구 양화로 45 메세나폴리스 몰동 1층 179호
겨울이머무는집,(지번) 서교동 409-18,3.1,78건,,서울 마포구 와우산로17길 19-5 1층
고망고 망원점,(지번) 망원동 57-91,4.2,20건,,서울 마포구 월드컵로13길 40 1층 1호
고슴도치 티라미수,(지번) 합정동 457-3,4.5,13건,,서울 마포구 희우정로5길 29 1층 102호
고양이다락방 홍대점,(지번) 동교동 162-14,,,,서울 마포구 홍익로6길 21 3층
고양이당,(지번) 망원동 57-371,,,,서울 마포구 월드컵로21길 14 지하1층
고즈넉,(지번) 합정동 428-34,5.0,3건,,서울 마포구 월드컵로7길 38 지1층
골드마인커피,,,,editorPick,서울 마포구 마포대로4라길 25 1층 (도화동)
골든크레마,(지번) 동교동 164-13,2.3,41건,,"서울 마포구 어울마당로 121 2,3,4층"
골든트리,,,,editorPick,경기 가평군 가평읍 북한강변로 326-124 (가평읍 금대리)
공상온도,(지번) 동교동 203-11,4.0,85건,,서울 마포구 동교로23길 40 지하 1층
공차 합정교보문고점,(지번) 합정동 473,4.0,12건,,서울 마포구 월드컵로3길 14 딜라이트스퀘어2차 지하1층 137호
공차 홍대서교점,(지번) 서교동 403-14,4.0,11건,,서울 마포구 어울마당로 49 1층
광합성카페,(지번) 망원동 57-36,4.1,76건,,서울 마포구 월드컵로19길 8 1층
교시커피,(지번) 서교동 391-8,5.0,2건,,서울 마포구 양화로11길 31
구스커피앤바,(지번) 망원동 57-112,4.5,38건,,서울 마포구 월드컵로17길 56 1층
구테로이테,,,,editorPick,서울 강남구 선릉로131길 16 1층 (논현동)
구황작물,(지번) 망원동 394-109,4.2,33건,,서울 마포구 동교로 27-8 1층 101호
굿애프터눈 합정점,(지번) 합정동 473,4.3,9건,,서울 마포구 월드컵로3길 14 딜라이트스퀘어2차 1층 120호
그러므로,,,,editorPick,제주 제주시 구남동6길 45 (이도2동)
그러므로 파트2,,,,editorPick,제주 제주시 수목원길 16-14 (노형동)
그레이그리스트밀,,,,editorPick,서울 강남구 압구정로2길 15 신사아이빌 지하1층 103호 (신사동)
그레이랩,(지번) 합정동 367-9,4.0,81건,,서울 마포구 토정로3길 16 1층
그로잉,(지번) 서교동 460-34,5.0,26건,,서울 마포구 동교로19길 21 1층
금옥당 서교점,(지번) 서교동 402-18,3.8,47건,,서울 마포구 어울마당로 39 1층
기미사,,,,editorPick,"서울 성동구 성수이로26길 47 지하1, 1층 (성수동2가)"
김밥카페하임,(지번) 망원동 517,3.9,14건,,서울 마포구 월드컵로25길 26
깊이,(지번) 서교동 384-14,4.3,19건,,서울 마포구 양화로11길 60 1층
까사벨라즈,(지번) 합정동 358-2,4.7,23건,,서울 마포구 독막로8길 27 1층
나무사이로,,,,editorPick,서울 종로구 사직로8길 21 1층 (내자동)
나인나인,(지번) 서교동 370-12,4.1,7건,,서울 마포구 양화로16길 14-16 엘케이빌딩 1층
낙하산커피,,,,editorPick,서울 용산구 한강대로46길 25 1층 101호 (한강로2가)
날쌘카페 합정점,(지번) 서교동 494,5.0,6건,,서울 마포구 양화로 72 효성해링턴타워 1층 114호
냐냐냥 그릭요거트,(지번) 서교동 494,4.6,10건,,서울 마포구 양화로 72 효성해링턴타워 1층 113호
넉커피,(지번) 합정동 371-4,4.7,6건,,서울 마포구 성지길 25-20 1층
네임이즈마빈,(지번) 서교동 5-3,4.9,22건,,서울 마포구 월드컵로20길 6 1층
노란코끼리 합정점,(지번) 합정동 392-1,4.9,14건,,서울 마포구 양화로1길 31 우진빌딩 1층 101호
노머글 얼라우드,(지번) 서교동 394-75,4.7,3건,,서울 마포구 양화로8길 16-22 2층
노피디네콩볶는집,(지번) 서교동 395-135,4.8,9건,,서울 마포구 잔다리로3길 31 1층
논스케일드,(지번) 합정동 427-4,4.9,8건,,서울 마포구 월드컵로 51 1층
눈내리는숲 설래임 홍대본점,(지번) 서교동 408-9,4.5,30건,,서울 마포구 어울마당로 54 대호빌딩 1층
니어커피컴퍼니,,,,editorPick,서울 금천구 시흥대로 291 상가 west동 1층 114호 (독산동)
다다랩,(지번) 망원동 376-9,4.4,87건,,서울 마포구 월드컵로15길 17 지하
다밍,(지번) 서교동 397-2,5.0,1건,,서울 마포구 어울마당로5길 42-5 2층
다스이스트프로밧,(지번) 합정동 362-3,4.4,36건,,서울 마포구 독막로8길 16
다이어커피,,,,editorPick,충북 청주시 상당구 대성로 86 1층 (문화동)
다크에디션커피,,,,editorPick,서울 서대문구 연희로11마길 12 1층 (연희동)
단고당,(지번) 망원동 485-9,4.3,49건,,"서울 마포구 망원로10길 3 1, 2층"
달로아,(지번) 망원동 57-39,5.0,6건,,서울 마포구 월드컵로19길 16 1층
달리,(지번) 합정동 410-10,4.3,14건,,서울 마포구 양화로6길 86 2층
달의계단,(지번) 서교동 347-19,3.5,30건,,서울 마포구 와우산로27길 74
달콤한거짓말,(지번) 상수동 317-11,4.2,122건,,서울 마포구 독막로 61-4
닷큐먼트,(지번) 서교동 394-82,4.8,15건,,서울 마포구 양화로8길 16-9 1층
당고집,(지번) 합정동 356-9,3.5,107건,,서울 마포구 어울마당로3길 5 1층
당인리책발전소,(지번) 서교동 475-26,3.8,106건,,"서울 마포구 월드컵로14길 10-8 지하층 ,1층"
대루커피,(지번) 합정동 428-4,4.5,56건,,서울 마포구 동교로 70 소와소빌딩 1층
대충유원지,(지번) 연남동 570-28,4.1,80건,,서울 마포구 월드컵북로6길 37 1층
더귀여워,(지번) 서교동 408-27,,,,서울 마포구 어울마당로 44-1 라꼼마빌딩 2층
더대단한커피&대단한탕후루&대단한요거트 홍대점,(지번) 서교동 357-1,3.4,5건,,서울 마포구 홍익로3길 20 서교오피스텔 1층 111호
더블유오앤,(지번) 서교동 366-7,3.1,29건,,"서울 마포구 잔다리로6길 20-9 로이스퀘어 지하1층,1층"
더빈마켓 성산점,(지번) 성산동 250-52,4.5,21건,,서울 마포구 성미산로 21-1 제일빌딩 1층
더세임,(지번) 합정동 398-21,4.5,13건,,서울 마포구 희우정로1길 6-3 1-2층
더지베이커리,(지번) 망원동 338-4,4.8,10건,,서울 마포구 월드컵로11길 65 1층
더페이머스램,(지번) 서교동 442-28,4.9,37건,,서울 마포구 월드컵로14길 13
덕희커피,(지번) 합정동 370-33,4.9,44건,,서울 마포구 성지5길 17 1층
덤앤더머 홍대점,(지번) 서교동 404-5,4.7,229건,,서울 마포구 독막로7길 48 5층
데우스 카페 홍대점,(지번) 서교동 408-10,5.0,5건,,서울 마포구 와우산로17길 19-12 2층
데이포레코드,(지번) 서교동 399-27,4.7,7건,,서울 마포구 양화로6길 57-10 2층
데코아발림,(지번) 상수동 311-4,4.4,89건,,서울 마포구 독막로15길 13-6 1층
델문도,(지번) 서교동 405-15,2.8,71건,,서울 마포구 잔다리로 19-6 2층
뎀셀브즈,(지번) 합정동 367-10,5.0,1건,,서울 마포구 토정로3안길 3
도카,(지번) 서교동 473-8,4.4,12건,,서울 마포구 월드컵로14길 33 엘림하우스 1층
도쿄빙수 본점,(지번) 망원동 414-56,4.1,130건,,서울 마포구 포은로8길 9 1층
도파민,(지번) 망원동 375-3,4.9,16건,,서울 마포구 월드컵로15길 22
도피오로스터리,,,,editorPick,서울 서초구 사평대로55길 29 1층 (반포동)
드롭탑 홍대점,(지번) 서교동 403-17,2.1,15건,,서울 마포구 어울마당로 45-1 동지빌딩 1층
디벙크,(지번) 합정동 366-1,4.0,130건,,서울 마포구 성지1길 30 더보이드빌딩 지하1층
디스코플래닛,(지번) 서교동 463-32,4.7,34건,,서울 마포구 동교로 144-13 명지빌딩 1층
디어마이뮤즈,(지번) 서교동 395-186,4.0,1건,,서울 마포구 독막로3길 41
디저트39 합정역점,(지번) 합정동 413-13,3.0,3건,,"서울 마포구 독막로 23-4 1,2층"
디폴트밸류,,,,editorPick,서울 서대문구 성산로 333 (연희동)
딥띵커,(지번) 서교동 395-17,5.0,7건,,서울 마포구 잔다리로 23 4층
딥블루레이크,(지번) 망원동 411-12,4.0,221건,editorPick,서울 마포구 포은로6길 11
딥블루레이크,(지번) 망원동 455-3,4.5,11건,editorPick,서울 마포구 희우정로 117-1 1층
딥커피,(지번) 동교동 199-2,3.3,58건,,서울 마포구 동교로 209 1층
땡스네이쳐,(지번) 서교동 486,4.2,96건,,서울 마포구 홍익로 10 푸르지오상가 지하1층 121호
라뚜셩트베이커리,(지번) 망원동 411-8,3.6,48건,,"서울 마포구 포은로8길 20 1,2층"
라뽀즈,(지번) 합정동 412-2,4.2,66건,,서울 마포구 양화로6길 60 1층
라운지 클라리멘토,(지번) 서교동 379-9,4.7,24건,,"서울 마포구 잔다리로7안길 18 두비스빌딩 1층, 지하1층"
랑데자뷰 영종구읍뱃터,,,,editorPick,인천 중구 은하수로 1 8층 (중산동)
레드플랜트,(지번) 서교동 392-15,4.2,63건,,서울 마포구 양화로7길 6
레이즈드베드,(지번) 서교동 395-199,4.2,5건,,"서울 마포구 독막로7길 57 1,2층"
레이지독케이크,(지번) 망원동 414-25,4.7,7건,,서울 마포구 포은로8길 28-6 계단올라와서 1층
로스커피,(지번) 서교동 375-24,4.0,13건,,서울 마포구 동교로18길 33
로스터제임스커피랩,(지번) 망원동 376-14,4.2,31건,,서울 마포구 월드컵로15길 23 호호빌딩 1층
로스팅마스터즈 본점,(지번) 서교동 461-1,4.4,30건,,서울 마포구 동교로 129 형진빌딩 1층
로스팅마스터즈 합정점,(지번) 서교동 382-16,4.6,19건,,서울 마포구 양화로7길 53 1층 101호
로우머,(지번) 망원동 57-179,4.0,78건,,서울 마포구 월드컵로13길 55-26 1층
로우즈(LOWEEZ),(지번) 서교동 247-22,4.5,15건,,서울 마포구 동교로19길 70 101호
로우키,,,,editorPick,서울 성동구 연무장3길 6 (성수동2가)
로우프,(지번) 합정동 393-25,4.3,3건,,서울 마포구 포은로 14
로우필름카페앤갤러리,(지번) 서교동 404-31,4.1,8건,,서울 마포구 독막로7길 44
로잉커피,(지번) 합정동 441-21,4.6,30건,,서울 마포구 동교로 34 2층
로파이,(지번) 서교동 410-5,4.3,20건,,서울 마포구 와우산로15길 16 신한빌딩 1층
로프커피,,,,editorPick,서울 광진구 동일로 304 리코브빌딩 1층 (군자동)
롤링앤필링,(지번) 망원동 386-3,4.6,8건,,서울 마포구 월드컵로 61 삼미빌딩 1층 101호
루아르 합정점,(지번) 합정동 375-28,3.8,9건,,서울 마포구 성지길 22 1층
루아르커피바 망원,(지번) 망원동 386-1,4.1,37건,,"서울 마포구 월드컵로11길 7 1,2층"
루즈도어,(지번) 합정동 433-62,4.0,37건,,서울 마포구 포은로 50 1층
루프캣미 고양이카페 홍대점,(지번) 동교동 162-15,4.8,83건,,서울 마포구 양화로 140 H-cube 지하2층
룰커피,,,,editorPick,서울 서초구 반포대로7길 16 1층 (서초동)
룸엘이스케이프 홍대1호점,(지번) 서교동 395-85,3.9,11건,,서울 마포구 잔다리로 39 로뎀빌딩 지하1층
르메드,(지번) 합정동 434-4,,,,서울 마포구 포은로 46 1층
리드미,(지번) 연남동 567-28,3.7,6건,,서울 마포구 월드컵북로6길 83 1층
리밀앤밀리,(지번) 서교동 375-45,4.4,56건,,서울 마포구 동교로22길 21 1층
리사르커피로스터스,,,,editorPick,서울 강남구 도산대로99길 60 1층 (청담동)
