name,addr_load,rating_score,rating_num
프릳츠 도화점,서울 마포구 새창로2길 17 (도화동),No Rating,0
골드마인커피,서울 마포구 마포대로4라길 25 1층 (도화동),No Rating,0
헤베커피,서울 중구 필동로 32 낙원빌딩 1층 (필동2가),No Rating,0
카페파이프,서울 동작구 사당로30길 36 1층 (사당동),No Rating,0
리플렉트커피로스터스 로스팅 랩,서울 서초구 남부순환로347길 53 1층 104호 (서초동),No Rating,0
강변서재,서울 영등포구 의사당대로 1 2층 (여의도동),No Rating,0
빈브라더스 커피하우스 서울,"서울 마포구 토정로9길 2 6,7층 (상수동)",No Rating,0
펀스터,서울 은평구 증산로3길 8-15 1층 (증산동),No Rating,0
인텔리젠시아 커피 서촌,서울 종로구 자하문로 34 1층 (통의동),No Rating,0
니어커피컴퍼니,서울 금천구 시흥대로 291 상가 west동 1층 114호 (독산동),No Rating,0
크림드메,서울 은평구 통일로 883 2층 (갈현동),No Rating,0
푸글렌 서울,서울 마포구 와우산로 43 (상수동),No Rating,0
매개체커피,서울 은평구 증산로21길 7-7 1층 (신사동),No Rating,0
파브스커피로스터스,서울 은평구 증산로15가길 15 1층 (신사동),No Rating,0
샌드스톤커피랩,서울 마포구 성미산로23안길 21 1층 (연남동),No Rating,0
토치커피 삼성점,서울 강남구 봉은사로68길 41 1층 102호 (삼성동),No Rating,0
키헤이커피,서울 강남구 봉은사로78길 15 재정빌딩 1층 101호 (삼성동),No Rating,0
조양방직,인천 강화군 강화읍 향나무길5번길 12 1층 (강화읍 신문리),No Rating,0
커피투어,서울 종로구 경희궁2길 12 (내수동),No Rating,0
세컨드 커피,서울 종로구 율곡로10길 16 1층 (와룡동),No Rating,0
구테로이테,서울 강남구 선릉로131길 16 1층 (논현동),No Rating,0
무슈부부커피스탠드 망원점,서울 마포구 망원로 13 1층 (망원동),No Rating,0
쏘리에스프레소바,서울 종로구 자하문로2길 12 1층 (적선동),No Rating,0
영앤도터스,서울 마포구 마포대로 156 공덕푸르지오시티 1층 107호 (공덕동),No Rating,0
낙하산커피,서울 용산구 한강대로46길 25 1층 101호 (한강로2가),No Rating,0
밀로커피로스터스,서울 마포구 양화로18안길 36 1층 (동교동),No Rating,0
포트레이트 커피바,서울 마포구 포은로8길 32 1층 (망원동),No Rating,0
올웨이즈어거스트,서울 마포구 망원로6길 19 (망원동),No Rating,0
커피가게동경,서울 마포구 망원로6길 21 지하층 (망원동),No Rating,0
"오른(orrrn,오알엔)",제주 서귀포시 성산읍 해맞이해안로 2714 (성산읍 오조리),No Rating,0
뷰클런즈,서울 송파구 백제고분로43길 10 1층 (송파동),No Rating,0
보난자커피 군자점,서울 광진구 능동로 239 B동 1층 (군자동),No Rating,0
몰또 이탈리안 에스프레소바 앤 테라스,서울 중구 명동길 73 3층 (명동1가),No Rating,0
33아파트먼트,서울 용산구 한남대로27길 33 1층 (한남동),No Rating,0
커피리브레 연남점,"서울 마포구 성미산로32길 20-5 1,2층 (연남동)",No Rating,0
파이오니어커피,서울 강동구 올림픽로 572 코오롱2차아파트 1층 110호 (성내동),No Rating,0
에이프릴커피 서울,서울 용산구 이태원로54길 19 1층 (한남동),No Rating,0
딥블루레이크,서울 마포구 포은로6길 11 (망원동),No Rating,0
프리퍼커피로스터스,서울 서초구 반포대로5길 4 1층 (서초동),No Rating,0
프로토콜,서울 서대문구 연희로 109 2층 (연희동),No Rating,0
다크에디션커피,서울 서대문구 연희로11마길 12 1층 (연희동),No Rating,0
매뉴팩트커피 연희본점,서울 서대문구 연희로11길 29 2층 (연희동),No Rating,0
폰트커피 문래점,서울 영등포구 경인로77가길 6 (문래동2가),No Rating,0
폰트커피,서울 용산구 한강대로15길 19-16 1층 (한강로3가),No Rating,0
다이어커피,충북 청주시 상당구 대성로 86 1층 (문화동),No Rating,0
도피오로스터리,서울 서초구 사평대로55길 29 1층 (반포동),No Rating,0
호두나무카페,경기 하남시 서하남로390번길 96 (춘궁동),No Rating,0
로프커피,서울 광진구 동일로 304 리코브빌딩 1층 (군자동),No Rating,0
파이브브루잉,서울 서초구 서초대로27길 15 (방배동),No Rating,0
말릭,서울 마포구 와우산로29바길 20 지하1층 (서교동),No Rating,0
조이커피바,경기 하남시 미사대로 410 오벨리스크 상가 2층 214호 (빨래방앞) (망월동),No Rating,0
커피볶는아침,서울 송파구 올림픽로 289 제지하1층 제비121-2호 (신천동),No Rating,0
리프커피바,서울 송파구 백제고분로43길 24 R&BHaus 1층 101호 (송파동),No Rating,0
콩당콩당,서울 송파구 올림픽로4길 17 아시아선수촌아파트 C상가 2층 23호 (잠실동),No Rating,0
랑데자뷰 영종구읍뱃터,인천 중구 은하수로 1 8층 (중산동),No Rating,0
채그로카페,서울 마포구 마포대로4다길 31 (마포동),No Rating,0
릴렉세이션 포인트,서울 은평구 연서로3길 12 (역촌동),No Rating,0
컬러드빈,서울 서대문구 연희로11가길 8-8 1층 (연희동),No Rating,0
골든트리,경기 가평군 가평읍 북한강변로 326-124 (가평읍 금대리),No Rating,0
벙커컴퍼니 압구정점,"서울 강남구 언주로167길 23 1, 2층 (신사동)",No Rating,0
벙커컴퍼니,"경기 하남시 하남대로249번길 16-16 1,2층 (상산곡동)",No Rating,0
블랙업커피 해운대점,부산 해운대구 중동2로 16 해운대온천센터 1층 (중동),No Rating,0
톨드어스토리,대전 서구 갈마역로25번길 31 1층 (갈마동),No Rating,0
리사르커피로스터스,서울 강남구 도산대로99길 60 1층 (청담동),No Rating,0
서울리즘,"서울 송파구 백제고분로 435 예스빌딩 1,6층 (송파동)",No Rating,0
어니언 안국점,서울 종로구 계동길 5 (계동),No Rating,0
칼라스커피 성산점,서울 마포구 월드컵북로16길 16 1층 (성산동),No Rating,0
180커피로스터스,경기 성남시 분당구 문정로144번길 4 (율동),No Rating,0
파스텔커피웍스 본점,서울 마포구 성지길 58 노박빌딩 1층 (합정동),No Rating,0
와토커피,제주 서귀포시 대정읍 동일하모로 238 (대정읍 상모리),No Rating,0
카페이면,제주 제주시 한림읍 금능5길 13 1층 (한림읍 금능리),No Rating,0
커피파인더,제주 제주시 서광로32길 20 1층 (이도이동),No Rating,0
유스커피,제주 제주시 구산로 54 (아라일동),No Rating,0
그러므로 파트2,제주 제주시 수목원길 16-14 (노형동),No Rating,0
그러므로,제주 제주시 구남동6길 45 (이도2동),No Rating,0
픽스커피 본점,제주 제주시 신설로11길 2 1층 (아라이동),No Rating,0
픽스커피 화북공단점,제주 제주시 청풍남8길 55 1층 (화북이동),No Rating,0
커피그래피티,서울 영등포구 양평로28다길 3 1층 (양평동6가),No Rating,0
비브레이브 서호점,제주특별자치도 서귀포시 신서로48번길 66 (서호동),No Rating,0
비브레이브커피로스터즈,제주 서귀포시 서호중앙로 85-13 1층 (서호동),No Rating,0
테라로사 홍대서교점,서울 마포구 월드컵북로5길 41 누디트 홍대 1층 테라로사 (서교동),No Rating,0
테라로사 서귀포점,제주 서귀포시 칠십리로658번길 27-16 (하효동),No Rating,0
커피템플,제주 제주시 영평길 269 1층 (월평동),No Rating,0
코스피어,부산 금정구 장전온천천로79번길 4 (장전동),No Rating,0
커피몽타주,서울 강동구 올림픽로48길 23-12 1층 (성내동),No Rating,0
502커피로스터스 역삼점,서울 강남구 테헤란로 142 캐피탈타워 1층 (역삼동),No Rating,0
그레이그리스트밀,서울 강남구 압구정로2길 15 신사아이빌 지하1층 103호 (신사동),No Rating,0
커피찾는남자,서울 성동구 성수일로12길 52 성수롯데캐슬 상가동 106호 (성수동2가),No Rating,0
기미사,"서울 성동구 성수이로26길 47 지하1, 1층 (성수동2가)",No Rating,0
피어커피 성수,서울 성동구 광나루로4가길 24 (성수동2가),No Rating,0
로우키,서울 성동구 연무장3길 6 (성수동2가),No Rating,0
센터커피 서울숲점,서울 성동구 서울숲2길 28-11 1층 (성수동1가),No Rating,0
트레져스,부산 부산진구 동성로49번길 4 1층 (전포동),No Rating,0
커피어웨이크 부산대점,부산 금정구 부산대학로63번길 46-4 (장전동),No Rating,0
CSB라운지,부산 수영구 광남로 14 (남천동),No Rating,0
히떼로스터리,부산 부산진구 동성로 59 2층 (전포동),No Rating,0
베르크로스터스,부산 부산진구 서전로58번길 115 1층 (전포동),No Rating,0
FM커피하우스 1호점,부산 부산진구 전포대로199번길 26 (전포동),No Rating,0
